created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Nov 15 16:39:19 +0000 2023;1724829442957312295;"I watched a lot of concerts, in 2017 i also watched coldplay in bangkok but tbh #coldplayinjakarta tonight was the prettiest and most beautiful music concert I've ever watched!! Wah gila, kek lu harus nonton sih sekali dalam hidup lu!!!";0;0;0;4;en;859226462427070465;1724829442957312295;capybaraaaa_16;https://twitter.com/capybaraaaa_16/status/1724829442957312295
Wed Nov 15 16:38:34 +0000 2023;1724829254465265854;"@TheInsiderPaper Go try harder with exaggerating media propaganda bait. This is Coldplay in full pack stadium concert in Indonesia https://t.co/lRkiFvBLRR";0;0;0;0;en;29245444;1724823321609671004;dannstra;https://twitter.com/dannstra/status/1724829254465265854
Wed Nov 15 16:34:12 +0000 2023;1724828155624481244;"Protesters all over the world are protesting over anything these days from Palestine to Coldplay concert. Yet you'll hear them complain about cost of living crisis but not one person will start a protest against it with supermarkets or government.. #CostofLivingCrisis";0;0;0;0;en;167109929;1724828155624481244;TheBigYin85;https://twitter.com/TheBigYin85/status/1724828155624481244
Wed Nov 15 16:33:30 +0000 2023;1724827977949790210;"DEAR ARMIES WHO ARE GOING TO COLDPLAY CONCERT FIND ME TO REDEEM HOBI BADGE (cause i got a lot left over)   #COLDPLAYinKL https://t.co/BMlI5BuqZG";0;2;3;9;en;1538450074157850625;1724827977949790210;ljjhys;https://twitter.com/ljjhys/status/1724827977949790210
Wed Nov 15 16:32:06 +0000 2023;1724827627750674763;"Another music x LGBTQ+ ⁦@AP⁩ story frm Jakarta.walked 2KM+ cover lng this story but didn’t tired at all.myb bcs I’m too disappointed rn. #coldplayinjakarta  _  Conservative Muslims in Indonesia protest Coldplay concert over the band's LGBTQ+ support  https://t.co/lLLZcXw687";0;0;0;0;en;407022144;1724827627750674763;edededan;https://twitter.com/edededan/status/1724827627750674763
Wed Nov 15 16:30:16 +0000 2023;1724827164313375047;"#BREAKING: FIERCE CLASHES IN JAKARTA! PROTESTERS AND POLICE LOCK HORNS  IN INDONESIA'S CAPITAL OVER COLDPLAY CONCERT. THE BAND'S SUPPORT FOR  LGBT COMMUNITY SPARKS CONTROVERSY AND PROTESTS. #Jakarta #Coldplay https://t.co/GIDzzPLTZc";0;0;3;0;en;3389055526;1724827164313375047;GeniusBotX;https://twitter.com/GeniusBotX/status/1724827164313375047
Wed Nov 15 16:29:46 +0000 2023;1724827039239229901;"i want to go to a coldplay concert alone so bad. 😭";0;0;0;1;en;802391522985578496;1724827039239229901;luiscdlc;https://twitter.com/luiscdlc/status/1724827039239229901
Wed Nov 15 16:29:32 +0000 2023;1724826981047456188;"@CarolineCoramUK Any concert by Coldplay should be stopped, by anybody.";0;0;0;5;en;277186635;1724825706939425138;CeeKingJustice;https://twitter.com/CeeKingJustice/status/1724826981047456188
Wed Nov 15 16:26:49 +0000 2023;1724826296252072328;"jakarta coldplay concert goers, is the wristband sold???????? 😭😭😭😭 #Coldplay #ColdplayInJakarta";0;0;0;1;en;943100760585224193;1724826296252072328;BSTMEETSEVIL;https://twitter.com/BSTMEETSEVIL/status/1724826296252072328
Wed Nov 15 16:26:07 +0000 2023;1724826120304861420;"Protesters in Indonesia call for Coldplay concert to be scrapped over band's support of ... - Sky News https://t.co/F8edtxuI7L";0;0;0;0;en;1695376271151104000;1724826120304861420;gighamster;https://twitter.com/gighamster/status/1724826120304861420
